Datum;Binnengekomen bij Provider;Doorgeleid naar keuzemenu;Door beller opgehangen in menu;Automatisch behandeld in menu;Thema;Gekozen voor thema incl. doorverbindingen;In de wachtrij;Door beller opgehangen in de wachtrij;Geholpen door medewerker;Gemiddelde wachttijd (s);;
11/01/2019;;;;;OVERIG;2565,00;2504,00;122,00;2382,00;238;;
11/01/2019;;;;;BUITENLAND;2553,00;2498,00;445,00;2053,00;226;;
11/01/2019;;;;;DOUANE;259,00;259,00;12,00;247,00;21;;
14/01/2019;55120,00;55091,00;8336,00;2358,00;TOTAAL;57378,00;52789,00;4050,00;48739,00;196;;
14/01/2019;;;;;PARTICULIEREN;15447,00;15447,00;589,00;14858,00;113;;
14/01/2019;;;;;ONDERNEMINGEN;12280,00;8398,00;1101,00;7297,00;473;;
14/01/2019;;;;;TOESLAGEN;11742,00;11742,00;454,00;11288,00;96;;
14/01/2019;;;;;AUTO;5800,00;5228,00;672,00;4556,00;350;;
14/01/2019;;;;;INTERMEDIAIRS;4339,00;4229,00;293,00;3936,00;93;;
14/01/2019;;;;;OVERIG;3798,00;3792,00;150,00;3642,00;175;;
14/01/2019;;;;;BUITENLAND;3645,00;3638,00;760,00;2878,00;254;;
14/01/2019;;;;;DOUANE;327,00;315,00;31,00;284,00;129;;
15/01/2019;60079,00;60052,00;10815,00;2279,00;TOTAAL;59255,00;54804,00;7468,00;47336,00;357;;
15/01/2019;;;;;PARTICULIEREN;18317,00;16618,00;2618,00;14000,00;471;;
15/01/2019;;;;;TOESLAGEN;15284,00;13477,00;2661,00;10816,00;534;;
15/01/2019;;;;;ONDERNEMINGEN;9540,00;8683,00;841,00;7842,00;328;;
15/01/2019;;;;;AUTO;4732,00;4725,00;168,00;4557,00;73;;
15/01/2019;;;;;INTERMEDIAIRS;4307,00;4306,00;203,00;4103,00;60;;
15/01/2019;;;;;OVERIG;3423,00;3402,00;142,00;3260,00;178;;
15/01/2019;;;;;BUITENLAND;3356,00;3297,00;822,00;2475,00;311;;
15/01/2019;;;;;DOUANE;296,00;296,00;13,00;283,00;27;;
16/01/2019;58309,00;58292,00;11115,00;2159,00;TOTAAL;55399,00;49308,00;8603,00;40705,00;441;;
16/01/2019;;;;;PARTICULIEREN;16783,00;13883,00;2772,00;11111,00;580;;
16/01/2019;;;;;TOESLAGEN;14772,00;13002,00;3383,00;9619,00;751;;
16/01/2019;;;;;ONDERNEMINGEN;8696,00;7558,00;681,00;6877,00;280;;
16/01/2019;;;;;INTERMEDIAIRS;4229,00;4091,00;363,00;3728,00;137;;
16/01/2019;;;;;AUTO;4221,00;4208,00;142,00;4066,00;69;;
16/01/2019;;;;;BUITENLAND;3444,00;3322,00;1112,00;2210,00;470;;
16/01/2019;;;;;OVERIG;2970,00;2963,00;127,00;2836,00;181;;
16/01/2019;;;;;DOUANE;284,00;281,00;23,00;258,00;59;;
17/01/2019;53002,00;52972,00;8990,00;1924,00;TOTAAL;52677,00;48935,00;6684,00;42251,00;359;;
17/01/2019;;;;;TOESLAGEN;14899,00;13113,00;2448,00;10665,00;525;;
17/01/2019;;;;;PARTICULIEREN;14004,00;13237,00;1874,00;11363,00;437;;
17/01/2019;;;;;ONDERNEMINGEN;8264,00;7628,00;536,00;7092,00;257;;
17/01/2019;;;;;INTERMEDIAIRS;4418,00;4252,00;339,00;3913,00;108;;
17/01/2019;;;;;AUTO;4394,00;4166,00;340,00;3826,00;207;;
17/01/2019;;;;;OVERIG;3216,00;3208,00;183,00;3025,00;239;;
17/01/2019;;;;;BUITENLAND;3186,00;3038,00;949,00;2089,00;407;;
17/01/2019;;;;;DOUANE;296,00;293,00;15,00;278,00;47;;
18/01/2019;47438,00;47420,00;8713,00;2027,00;TOTAAL;46442,00;44556,00;5563,00;38993,00;324;;
18/01/2019;;;;;PARTICULIEREN;13407,00;13283,00;1596,00;11687,00;380;;
18/01/2019;;;;;TOESLAGEN;10967,00;10932,00;1553,00;9379,00;398;;
18/01/2019;;;;;ONDERNEMINGEN;7582,00;6415,00;669,00;5746,00;347;;
18/01/2019;;;;;AUTO;4386,00;4192,00;289,00;3903,00;151;;
18/01/2019;;;;;INTERMEDIAIRS;4006,00;3774,00;342,00;3432,00;130;;
18/01/2019;;;;;BUITENLAND;2954,00;2841,00;974,00;1867,00;461;;
18/01/2019;;;;;OVERIG;2888,00;2869,00;116,00;2753,00;196;;
18/01/2019;;;;;DOUANE;252,00;250,00;24,00;226,00;148;;
21/01/2019;76355,00;76318,00;15687,00;3041,00;TOTAAL;69877,00;65340,00;11163,00;54177,00;412;;
21/01/2019;;;;;TOESLAGEN;24107,00;20754,00;5182,00;15572,00;716;;
21/01/2019;;;;;PARTICULIEREN;17682,00;17332,00;3068,00;14264,00;466;;
21/01/2019;;;;;ONDERNEMINGEN;10090,00;9583,00;515,00;9068,00;192;;
21/01/2019;;;;;AUTO;4831,00;4746,00;201,00;4545,00;96;;
21/01/2019;;;;;BUITENLAND;4789,00;4575,00;1870,00;2705,00;559;;
21/01/2019;;;;;INTERMEDIAIRS;4201,00;4201,00;182,00;4019,00;45;;
21/01/2019;;;;;OVERIG;3840,00;3812,00;135,00;3677,00;172;;
21/01/2019;;;;;DOUANE;337,00;337,00;10,00;327,00;17;;
22/01/2019;59524,00;59502,00;11040,00;2798,00;TOTAAL;58210,00;56659,00;6928,00;49731,00;309;;
22/01/2019;;;;;PARTICULIEREN;16313,00;15813,00;2018,00;13795,00;365;;
22/01/2019;;;;;TOESLAGEN;15902,00;15709,00;2540,00;13169,00;480;;
22/01/2019;;;;;ONDERNEMINGEN;9504,00;8976,00;496,00;8480,00;174;;
22/01/2019;;;;;INTERMEDIAIRS;4592,00;4473,00;170,00;4303,00;90;;
22/01/2019;;;;;AUTO;4177,00;4174,00;89,00;4085,00;37;;
22/01/2019;;;;;BUITENLAND;3977,00;3832,00;1414,00;2418,00;484;;
22/01/2019;;;;;OVERIG;3489,00;3426,00;191,00;3235,00;258;;
22/01/2019;;;;;DOUANE;256,00;256,00;10,00;246,00;22;;
23/01/2019;53655,00;53637,00;9823,00;2376,00;TOTAAL;52329,00;50242,00;6884,00;43358,00;327;;
23/01/2019;;;;;PARTICULIEREN;14747,00;14118,00;1966,00;12152,00;369;;
23/01/2019;;;;;TOESLAGEN;13069,00;12658,00;2340,00;10318,00;487;;
23/01/2019;;;;;ONDERNEMINGEN;8842,00;8400,00;510,00;7890,00;194;;
23/01/2019;;;;;INTERMEDIAIRS;4313,00;4204,00;205,00;3999,00;128;;
23/01/2019;;;;;AUTO;4055,00;4037,00;234,00;3803,00;115;;
23/01/2019;;;;;BUITENLAND;3847,00;3510,00;1328,00;2182,00;563;;
23/01/2019;;;;;OVERIG;3188,00;3047,00;290,00;2757,00;348;;
23/01/2019;;;;;DOUANE;268,00;268,00;11,00;257,00;46;;
24/01/2019;47386,00;47364,00;7474,00;1808,00;TOTAAL;49518,00;47690,00;4207,00;43483,00;214;;
24/01/2019;;;;;PARTICULIEREN;12879,00;12782,00;766,00;12016,00;171;;
24/01/2019;;;;;TOESLAGEN;11154,00;11153,00;844,00;10309,00;200;;
24/01/2019;;;;;ONDERNEMINGEN;8799,00;7722,00;616,00;7106,00;243;;
24/01/2019;;;;;INTERMEDIAIRS;4607,00;4097,00;269,00;3828,00;180;;
24/01/2019;;;;;OVERIG;4264,00;4193,00;345,00;3848,00;270;;
24/01/2019;;;;;AUTO;4074,00;4003,00;385,00;3618,00;225;;
24/01/2019;;;;;BUITENLAND;3453,00;3452,00;972,00;2480,00;362;;
24/01/2019;;;;;DOUANE;288,00;288,00;10,00;278,00;22;;
25/01/2019;48867,00;48847,00;8652,00;2268,00;TOTAAL;47594,00;43637,00;5311,00;38326,00;322;;
25/01/2019;;;;;PARTICULIEREN;13661,00;13512,00;1529,00;11983,00;319;;
25/01/2019;;;;;TOESLAGEN;9235,00;9235,00;1173,00;8062,00;370;;
25/01/2019;;;;;ONDERNEMINGEN;8708,00;6422,00;743,00;5679,00;390;;
25/01/2019;;;;;INTERMEDIAIRS;4893,00;3693,00;335,00;3358,00;221;;
25/01/2019;;;;;AUTO;4671,00;4538,00;334,00;4204,00;174;;
25/01/2019;;;;;OVERIG;3298,00;3210,00;258,00;2952,00;320;;
25/01/2019;;;;;BUITENLAND;2902,00;2801,00;929,00;1872,00;469;;
25/01/2019;;;;;DOUANE;226,00;226,00;10,00;216,00;45;;
28/01/2019;69620,00;69593,00;12328,00;3219,00;TOTAAL;65814,00;58106,00;9288,00;48818,00;412;;
28/01/2019;;;;;PARTICULIEREN;19212,00;18266,00;3093,00;15173,00;452;;
28/01/2019;;;;;ONDERNEMINGEN;14974,00;9135,00;1433,00;7702,00;550;;
28/01/2019;;;;;TOESLAGEN;11769,00;11749,00;2240,00;9509,00;519;;
28/01/2019;;;;;AUTO;5985,00;5803,00;312,00;5491,00;122;;
28/01/2019;;;;;INTERMEDIAIRS;5038,00;4636,00;303,00;4333,00;189;;
28/01/2019;;;;;BUITENLAND;4448,00;4162,00;1512,00;2650,00;505;;
28/01/2019;;;;;OVERIG;4070,00;4039,00;379,00;3660,00;344;;
28/01/2019;;;;;DOUANE;318,00;316,00;16,00;300,00;24;;
29/01/2019;60257,00;60230,00;8994,00;3119,00;TOTAAL;60337,00;53547,00;4781,00;48766,00;235;;
29/01/2019;;;;;PARTICULIEREN;17352,00;17140,00;1209,00;15931,00;195;;
29/01/2019;;;;;ONDERNEMINGEN;14558,00;8888,00;1215,00;7673,00;529;;
29/01/2019;;;;;TOESLAGEN;10512,00;10512,00;540,00;9972,00;120;;
29/01/2019;;;;;INTERMEDIAIRS;5366,00;4606,00;367,00;4239,00;215;;
29/01/2019;;;;;AUTO;5015,00;5015,00;88,00;4927,00;33;;
29/01/2019;;;;;OVERIG;3700,00;3566,00;356,00;3210,00;364;;
29/01/2019;;;;;BUITENLAND;3554,00;3540,00;988,00;2552,00;325;;
29/01/2019;;;;;DOUANE;280,00;280,00;18,00;262,00;31;;
